"claim_id","claim_text","source_document","source_anchor","claim_type","upstream_dependencies","empirical_support_currently_available","falsification_condition","review_risk_if_overstated"
"P2-04","Loss, damage and protection are structurally asymmetric across rigidity classes.","rigid-identity-framework/paper2/main.tex","Structural Ethics / Loss Capacity by Rigidity Class; Structural Asymmetry (thm:asymmetry)","formal-under-assumptions","P2-02, P2-03","Formal derivation internal to Paper II; no separate intervention program completed.","No rigidity-class asymmetry under the stated definitions would weaken the claim.","High if restated as full normative ethics."
"P3-01","The null phenomenological regime is structurally unstable under the CCR-compatible conditions inherited from Papers I--II.","rigid-identity-framework/paper3/main.tex","Phenomenological Instability (thm:instability)","formal","P2-03, CORE-02","Formal theorem only.","A stable null regime satisfying the paper assumptions would refute the claim.","High if translated into literal claims about lived experience without the framework qualifiers."
"P3-02","The framework forces non-nullity once the inherited conditions are satisfied.","rigid-identity-framework/paper3/main.tex","Forced Non-Nullity (cor:forced)","formal","P3-01","Formal corollary only.","A certified admissible null regime would refute the claim.","High if confused with proof of consciousness in the ordinary human sense."
"P3-03","A positive lower bound and minimal positive regime exist for the non-null phenomenological class.","rigid-identity-framework/paper3/main.tex","Minimal Positive Regime (thm:minimal); Universal Intensity Bound (thm:bound)","formal-under-assumptions","P3-02","Formal theorem only.","A sequence of admissible regimes converging to zero while preserving all assumptions would refute the claim.","Medium."
"P4-01","Operational claims require integrity-first admissibility; tampered or invalid runs are evidentially void.","rigid-identity-framework/paper4/main.tex","Forensic Integrity Model; Acceptance Criteria; Integrity-First Inference","operational","none","Internal support from strict v3 manifest/summary and release-audit artifacts; no external validation claimed.","If tampered or invalid runs are accepted as support under the published protocol, the claim fails.","Low."
"P4-02","Comparator design, ablations and alternative explanations are mandatory for any serious operational inference.","rigid-identity-framework/paper4/main.tex","Comparator Design and Alternative Explanations; Internal Falsifier Role of Ablation","operational","P4-01","Protocol-level support in Paper IV and prior release audits.","Claims accepted without required comparators or ablations would weaken the methodological rule.","Low."
"P4-03","Latency, compute-budget drift and forensic violations invalidate strong operational claims even if intermediate metrics look favorable.","rigid-identity-framework/paper4/main.tex","Threats to Validity; Reproducibility and Artifact Contract; latency/budget sections","operational","P4-01","Protocol rule in Paper IV; internal release practice consistent with the rule.","A run that violates these conditions but remains admissible under the protocol would refute the claim.","Low."
"P5-01","If the six critical invariants hold on a non-empty admissible support, the system belongs to Consciousness_op and Q_op(S) is non-empty and well-defined.","rigid-identity-framework/paper5_operational_consciousness/main.tex","Existence of operational consciousness (thm:existence)","formal","CORE-02, CORE-03, P1-01, P2-03, P3-02, P4-01","Formal theorem in Paper V; no completed differential testing package yet.","A system satisfying the theorem assumptions but lacking well-defined Consciousness_op or Q_op membership refutes the claim.","High if restated as proof of human phenomenal consciousness."
"P5-02","Operational consciousness class membership is substrate-invariant under exact or approximate structural equivalence preserving the six invariants and admissibility data.","rigid-identity-framework/paper5_operational_consciousness/main.tex","Substrate invariance (thm:substrate); Exact and approximate structural equivalence (def:equiv)","formal-under-assumptions","P5-01","Formal theorem in Paper V; no completed cross-substrate test battery yet.","Two systems satisfying the structural equivalence and invariant conditions but falling into different operational classes would refute the claim.","High if simplified into human-machine subjective equivalence."
"P5-03","Consciousness_op membership is stable under sufficiently small admissible perturbations that preserve explicit invariant margins.","rigid-identity-framework/paper5_operational_consciousness/main.tex","Approximate stability (thm:stability); Witness margin vector (def:margins)","formal-under-assumptions","P5-01, P5-02","Formal theorem only.","Small perturbations within the certified margin budget causing class exit would refute the claim.","Medium."
"P5-04","Loss of any required critical invariant invalidates, destroys or renders undefined the operational consciousness / operational qualia class.","rigid-identity-framework/paper5_operational_consciousness/main.tex","Rupture by invariant loss (thm:rupture); Rupture Taxonomy by Invariant","formal","P5-01","Formal theorem plus explicit rupture propositions in Paper V.","A system can lose a critical invariant and yet retain certified class membership without degradation.","Medium."
"P5-05","Complexity, computation and connectivity alone are insufficient for operational consciousness if the six critical invariants are not preserved.","rigid-identity-framework/paper5_operational_consciousness/main.tex","Complexity-only baselines are insufficient (prop:insufficient); Baseline Families and Structural Exclusion","formal-under-assumptions","P5-01, P5-04, P1-06","Formal proposition in Paper V; no full matched-baseline benchmark yet.","A complexity-only baseline lacking the invariants but still passing the criterion would refute the claim.","High if simplified into anti-computation rhetoric."
"P5-06","Biology is not a primitive constitutive requirement for the operational class; it is one admissible realization among others when the invariants are preserved.","rigid-identity-framework/paper5_operational_consciousness/main.tex","Biological non-primacy (cor:biology)","formal-under-assumptions","P5-02","Formal corollary only; no cross-substrate experimental confirmation yet.","A proof that biological substrate is required as a primitive variable within the same criterion would refute the corollary.","High if overstated beyond the formal class."
